aleo_grupa,aleo_podgrupa,pkd_primary,pkd_secondary
Maszyny i utrzymanie ciągłości produkcji,Maszyny i części do maszyn,28.93.Z,77.32.Z|28.91.Z|46.64.Z|28.30.Z|77.33.Z
Maszyny i utrzymanie ciągłości produkcji,Materiały ścierne,28.93.Z,01.27.Z|08.91.Z|01.28.Z|23.32.Z|15.12.Z
Maszyny i utrzymanie ciągłości produkcji,Narzędzia i elektronarzędzia,28.93.Z,08.91.Z|01.27.Z|01.28.Z|10.61.Z|13.10.Z
Maszyny i utrzymanie ciągłości produkcji,"Ogrzewanie, klimatyzacja i wentylacja",28.93.Z,01.28.Z|08.91.Z|01.27.Z|43.22.Z|28.25.Z
Maszyny i utrzymanie ciągłości produkcji,"Serwis maszyn, urządzeń i części zamiennych",77.31.Z,77.32.Z|77.33.Z|46.64.Z|77.39.Z|46.14.Z
Maszyny i utrzymanie ciągłości produkcji,Utrzymanie ciągłości produkcji,28.93.Z,01.27.Z|08.91.Z|01.28.Z|52.10.B|19.10.Z
Meble,Meble biurowe i sklepowe,46.45.Z,46.47.Z|46.24.Z|46.42.Z|46.22.Z|46.87.Z
Meble,Meble kuchenne,31.00.Z,46.83.Z|46.33.Z|47.74.Z|47.72.Z|47.69.A
Meble,Inne,31.00.Z,47.64.Z|46.82.Z|47.69.B|47.77.Z|46.83.Z
"Medycyna, farmacja i kosmetyki",Kosmetyki,20.42.Z,46.45.Z|47.75.Z
"Medycyna, farmacja i kosmetyki",Leki i produkty lecznicze,21.20.Z,46.46.Z
"Medycyna, farmacja i kosmetyki","Urządzenia, sprzęt medyczny i serwis",87.20.Z,20.42.Z|47.63.Z|46.84.Z|46.45.Z|46.46.Z
"Medycyna, farmacja i kosmetyki",Usługi medyczne,86.21.Z,86.22.Z
"Medycyna, farmacja i kosmetyki",Wyroby i artykuły medyczne,47.75.Z,47.62.Z|47.79.C|47.55.Z|46.43.Z|46.49.Z
Nieruchomości i usługi powiązane,Administrowanie nieruchomościami,68.31.Z,68.32.A|68.32.B|68.20.Z|68.32.C|68.11.Z
Nieruchomości i usługi powiązane,Inne usługi utrzymania nieruchomości,68.32.A,68.11.Z|68.32.C|81.10.Z|68.32.B|81.30.Z
Nieruchomości i usługi powiązane,Pośrednictwo,68.31.Z,
Nieruchomości i usługi powiązane,Usługi najmu i zarządzania nieruchomości,68.32.A,68.32.C|68.11.Z|68.32.B|68.20.Z|81.30.Z
Nieruchomości i usługi powiązane,Usługi ochrony,,
Nieruchomości i usługi powiązane,Usługi sprzątania,81.21.Z,
Nieruchomości i usługi powiązane,"Zakup, sprzedaż i wycena nieruchomości",68.32.A,68.11.Z|68.32.C|81.30.Z|68.32.B|81.23.A
Odpady i surowce wtórne,Obróbka i usuwanie,46.85.B,38.21.Z|38.31.Z|46.41.Z|46.35.Z|46.21.A
Odpady i surowce wtórne,Odpady komunalne,46.87.Z,38.32.Z|38.21.Z|38.31.Z|46.41.Z|46.35.Z
Odpady i surowce wtórne,Recycling,38.21.Z,46.90.Z|46.35.Z|38.31.Z|46.62.Z|38.12.Z
Odpady i surowce wtórne,Surowce wtórne,38.21.Z,46.35.Z|46.85.B|38.31.Z|46.41.Z|46.49.Z
Odpady i surowce wtórne,Zbieranie odpadów,38.12.Z,38.11.Z|38.32.Z|38.33.Z|46.87.Z|38.31.Z
Odpady i surowce wtórne,Inne,38.21.Z,46.35.Z|38.31.Z|38.22.Z|46.89.Z|46.36.Z
"Opakowania, etykiety, folie, taśmy",Opakowania drewniane,16.24.Z,16.27.Z|25.92.Z|17.21.Z|16.25.Z|46.81.Z
"Opakowania, etykiety, folie, taśmy",Opakowania kartonowe i tektura,17.21.Z,25.92.Z|46.37.Z|46.64.Z|17.12.Z|46.73.Z
"Opakowania, etykiety, folie, taśmy",Opakowania metalowe,25.92.Z,25.51.Z|17.21.Z|25.53.Z|25.52.Z|46.81.Z
"Opakowania, etykiety, folie, taśmy",Opakowania plastikowe,25.92.Z,17.21.Z|25.40.Z|46.37.Z|46.81.Z|16.27.Z
"Opakowania, etykiety, folie, taśmy",Usługi konfekcjonowania i pakowania,25.40.Z,46.73.Z|46.21.B|46.37.Z|46.39.Z|16.21.Z
Pojazdy i środki transportu,Części i materiały eksploatacyjne pojazdów,29.32.Z,46.72.Z|47.82.Z|47.83.Z|46.73.Z|46.13.Z
Pojazdy i środki transportu,Motocykle i quady,95.32.Z,30.91.Z|46.73.Z|47.83.Z|47.63.Z|33.17.Z
Pojazdy i środki transportu,Opony i felgi,47.63.Z,33.17.Z|46.85.A|47.62.Z|95.21.Z|33.19.Z
Pojazdy i środki transportu,Pojazdy specjalistyczne,30.40.Z,47.30.Z|46.90.Z|33.12.Z|33.14.Z|95.21.Z
Pojazdy i środki transportu,Rowery,47.63.Z,33.17.Z|47.62.Z|95.21.Z|30.12.Z|47.75.Z
Pojazdy i środki transportu,Samochody osobowe i ciężarowe,29.10.B,95.29.Z|47.63.Z|30.99.Z|33.17.Z|46.85.A
Pojazdy i środki transportu,Serwis i utrzymanie pojazdów,30.40.Z,95.31.A|29.31.Z|29.10.A|29.10.E|47.30.Z
Pozostałe,Gospodarstwa domowe,46.85.B,47.54.Z|46.49.Z|10.39.Z|46.86.Z|47.12.Z
Pozostałe,Organizacje i związki,10.39.Z,94.99.Z|46.64.Z|46.38.Z|96.99.Z|47.27.Z
Pozostałe,Pomoc społeczna,46.85.B,47.12.Z|10.39.Z|46.86.Z|46.38.Z|47.27.Z
Pozostałe,Portale internetowe,10.39.Z,46.89.Z|96.99.Z|47.12.Z|46.86.Z|11.04.Z
Pozostałe,Produkcja,46.86.Z,47.12.Z|46.38.Z|47.27.Z|10.39.Z|46.85.B
Pozostałe,Sklepy internetowe,46.85.B,10.39.Z|47.12.Z|11.04.Z|46.64.Z|96.99.Z
Pozostałe,Sprzedaż detaliczna,47.12.Z,47.27.Z|47.78.Z|47.79.C|47.62.Z|47.69.C
Pozostałe,Sprzedaż hurtowa,46.85.B,46.38.Z|46.89.Z|46.86.Z|46.64.Z|46.18.Z
Pozostałe,Wyroby tytoniowe,46.85.B,10.39.Z|47.78.Z|46.49.Z|46.38.Z|46.86.Z
Pozostałe,Inne,47.12.Z,46.38.Z|47.27.Z|10.39.Z|46.85.B|96.99.Z
Przemysł spożywczy,Alkoholowy,46.14.Z,46.12.Z|46.11.B|46.34.A|46.34.B|47.25.Z
Przemysł spożywczy,Cukrowniczy,46.11.B,46.12.Z|46.14.Z|10.82.Z|46.36.Z|46.73.Z
Przemysł spożywczy,Kawa i herbata,46.14.Z,46.12.Z|46.11.B|46.23.Z|10.83.Z|46.42.Z
Przemysł spożywczy,Mięsny,46.14.Z,46.12.Z|46.11.B|46.23.Z|46.64.Z|10.89.B
Przemysł spożywczy,Mleczarski,46.14.Z,46.12.Z|46.11.B|10.51.Z|46.23.Z|47.23.Z
Przemysł spożywczy,Napoje bezalkoholowe,46.14.Z,46.34.B|46.11.B|46.34.A|46.12.Z|47.25.Z
Przemysł spożywczy,Oleje i tłuszcze,46.14.Z,46.12.Z|46.11.B|46.64.Z|10.41.Z|46.33.Z
Przemysł spożywczy,Owocowo-warzywny,46.14.Z,46.12.Z|46.11.B|46.31.Z|47.21.Z|10.32.Z
Przemysł spożywczy,Piekarniczy,46.14.Z,46.12.Z|46.11.B|46.23.Z|46.36.Z|10.83.Z
Przemysł spożywczy,Produkcja lodów,10.52.Z,46.14.Z|46.11.B|46.12.Z|46.86.Z|11.06.Z
Przemysł spożywczy,Przyprawy,46.12.Z,46.11.B|46.14.Z|10.84.Z|46.23.Z|46.37.Z
Przemysł spożywczy,Rybny,46.14.Z,46.12.Z|46.11.B|46.23.Z|46.64.Z|47.78.Z
Przemysł spożywczy,Słodycze i przekąski,46.14.Z,46.12.Z|46.11.B|46.23.Z|46.64.Z|46.37.Z
Przemysł spożywczy,Tytoń,46.14.Z,46.12.Z|46.11.B|47.26.Z|46.35.Z|47.79.B
Przemysł spożywczy,Zbożowo-młynarski,46.14.Z,46.11.B|46.12.Z|46.21.A|46.23.Z|10.86.Z
Przemysł spożywczy,Inne,46.14.Z,46.12.Z|46.11.B|46.23.Z|46.64.Z|46.38.Z
"Rolnictwo, hodowla i uprawa",Chów i hodowla zwierząt,01.48.Z,01.44.Z|01.43.Z|01.62.Z|01.45.Z|01.50.Z
"Rolnictwo, hodowla i uprawa",Kwiaty i rośliny,01.45.Z,01.48.Z|01.46.Z|01.42.Z|01.47.Z|01.43.Z
"Rolnictwo, hodowla i uprawa",Leśnictwo i sadownictwo,01.45.Z,01.41.Z|01.42.Z|01.43.Z|01.50.Z|01.46.Z
